Model,R2 Score,MAE,RMSE
Random Forest,0.9277250370499648,5637.571059999978,7650.339346960644
Gradient Boosting,0.9056755965197194,8139.540357533348,8739.745665320677
Lasso Regression,0.8987518511034434,6961.142824839672,9054.83011728465
Linear Regression,0.8987266414319837,6961.47781327556,9055.95732349781
Ridge Regression,0.8954002232360683,7412.4475777075695,9203.481413783924
